fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
0,,,2.8394209251606358e-21,,,-0,,
-1.1728012311989335,,,-1.1727155211352671,,,-0.25,,
-1.1715862535068615,,,-1.1719118281731775,,,-0.25,,
0,,,-1.3032040249689891e-20,,,-0,,
0,,,-1.7312935579836913e-21,,,-0,,
0,,,-5.1052292316230799e-37,,,-0,,
0,,,8.4787521844206124e-21,,,-0,,
0,,,7.6314096694044681e-37,,,-0,,
0,,,2.0359724535464283e-36,,,-0,,
0,,,-3.4978827035096569e-56,,,-0,,
-0.78106520184754591,,,-0.78129299171957034,,,-0.25,,
-0.55228016746451136,,,-0.5524331345257939,,,-0,,
0,,,3.3086168290162385e-20,,,-0,,
-1.8416528426452589e-10,,,1.4678294955021493e-05,,,-0,,
0,,,1.5343823005385891e-20,,,-0,,
0,,,1.0294833548283313e-21,,,-0,,
0,,,3.3084801023667315e-36,,,-0,,
-0.39051209144861893,,,-0.39062062338114878,,,0.25,,
0,,,1.6580748133275715e-20,,,0,,
-0.55232550573775618,,,-0.55247948345424103,,,-0.70710678118654757,,
0,,,-3.362910461397082e-21,,,-0,,
0,,,-2.316780693780474e-20,,,-0,,
0,,,4.1615526312279995e-37,,,-0,,
-0.78103314284733871,,,-0.78126021807838331,,,0.25,,
0,,,2.310862626204346e-21,,,-0,,
-0.55232550573775618,,,-0.55247948345422493,,,-0.70710678118654757,,
-1.8416528426446199e-10,,,1.4678295006137905e-05,,,-0,,
0,,,-2.0947025818914079e-20,,,-0,,
-0.78103314284728009,,,-0.78126021807834289,,,0.25,,
0,,,-2.2583020156187638e-20,,,0,,
0,,,-5.0629827161510842e-20,,,-0,,
0,,,-2.4763558250207925e-36,,,-0,,
-0.39051209144841376,,,-0.39062062338092912,,,0.25,,
-0.55228016746451136,,,-0.5524331345257899,,,-0,,
0,,,-9.1091088867621584e-21,,,-0,,
-0.78106520184770778,,,-0.78129299171982358,,,-0.25,,
0,,,4.9482370040140264e-21,,,-0,,
-1.1715862535068768,,,-1.1719118281731531,,,-0.25,,
-1.1727754149371523,,,-1.1726645261001611,,,-0.25,,
0,,,-7.7150533738011274e-21,,,-0,,
0,,,3.8247483078062401e-21,,,-0,,
0,,,-1.8241485520244915e-37,,,-0,,
0,,,1.5053308959106871e-20,,,-0,,
0,,,-6.9746546769004262e-38,,,-0,,
0,,,4.2696328008387562e-38,,,-0,,
0,,,6.5160780248604092e-57,,,-0,,
-0.78187421679435998,,,-0.78181440336816665,,,-0.25,,
-0.55281777577735292,,,-0.55275899237859838,,,-0,,
0,,,2.8425951911702903e-20,,,-0,,
-1.8416663575218953e-10,,,1.3447955780503801e-05,,,-0,,
0,,,1.3287808337290471e-20,,,-0,,
0,,,-1.4339616159449014e-21,,,-0,,
0,,,1.5028399298305231e-37,,,-0,,
-0.39090756318862713,,,-0.39087060732865869,,,0.25,,
0,,,1.4610467397225139e-20,,,0,,
-0.55291034414905404,,,-0.55286457052903093,,,-0.70710678118654757,,
0,,,3.8548189893069648e-22,,,-0,,
0,,,-1.3970957934406012e-20,,,-0,,
0,,,-2.959465814063363e-38,,,-0,,
-0.78180876107091635,,,-0.78173974834200233,,,0.25,,
0,,,6.7931221565969364e-22,,,-0,,
-0.55291034414905404,,,-0.55286457052898608,,,-0.70710678118654757,,
-1.8416663575211803e-10,,,1.344795576362066e-05,,,-0,,
0,,,-1.7464250489318125e-20,,,-0,,
-0.78180876107107267,,,-0.78173974834230198,,,0.25,,
0,,,-1.2337368816185583e-20,,,0,,
0,,,-2.6036898749467157e-20,,,-0,,
0,,,-2.0941560233356154e-37,,,-0,,
-0.39090756318873138,,,-0.39087060732880191,,,0.25,,
-0.55281777577735292,,,-0.55275899237868009,,,-0,,
0,,,-2.5758264430933426e-21,,,-0,,
-0.78187421679447544,,,-0.78181440336834929,,,-0.25,,
0,,,1.2486907690709949e-20,,,-0,,
-1.1727754149372158,,,-1.1726645261002679,,,-0.25,,
