fp,gp,y0p,fc,gc,y0c
4.4408920985006262e-16,1.769362434345112e-12,0,4.4408920985006262e-16,1.769362434345112e-12,-1.7125385567395766e-07
-4,1.8038903704109543e-12,0,-3.9986998586759177,1.8038903704109543e-12,-1.6136195736228019e-07
-0.00054331845625479143,1.8355317266127713e-12,0,-0.00054312332975533009,1.8355317266127713e-12,-1.5213723115621196e-07
0.38859073853905129,1.8646195698579504e-12,0,0.388460015684648,1.8646195698579504e-12,-1.4340523694276317e-07
-5.2041704279304213e-18,1.8920420785661918e-12,0,-5.2041704279304213e-18,1.8920420785661918e-12,-1.3506678406191214e-07
-4,1.918132319644883e-12,0,-3.9981060722557631,1.918132319644883e-12,-1.2707657901109325e-07
-0.00057917601477715545,1.9426682484890989e-12,0,-0.00057888415282738909,1.9426682484890989e-12,-1.194246783350155e-07
0.39695794775339993,1.9659829320062272e-12,0,0.39676596691438526,1.9659829320062272e-12,-1.1214092338063572e-07
-8.6736173798840355e-18,1.9879653478938053e-12,0,-8.6736173798840355e-18,1.9879653478938053e-12,-1.0524307784821047e-07
-4,2.0083934515469082e-12,0,-3.9975927266622717,2.0083934515469082e-12,-9.8749080187850248e-08
-0.00061907800642078785,2.0273782652679984e-12,0,-0.00061868847757393921,2.0273782652679984e-12,-9.2671258820904779e-08
0.40587234081648826,2.0449197890570758e-12,0,0.40562437421657022,2.0449197890570758e-12,-8.7000743228793572e-08
1.5612511283791264e-15,2.0607959783092156e-12,0,1.5612511283791264e-15,2.0607959783092156e-12,-8.1733172418692935e-08
-4,2.0753398999318051e-12,0,-3.9971910042546601,2.0753398999318051e-12,-7.6856034760085254e-08
-0.00066350941965090729,2.088662576227307e-12,0,-0.00066302687006495372,2.088662576227307e-12,-7.2353310589984718e-08
0.41535876547983508,2.1007640071957212e-12,0,0.41506361609883452,2.1007640071957212e-12,-6.821359289636942e-08
1.7121720707891086e-15,2.1116441928370477e-12,0,1.7121720707891086e-15,2.1116441928370477e-12,-6.4429214267743034e-08
-4,2.1216362000586741e-12,0,-3.9969315239732026,2.1216362000586741e-12,-6.0979005205867478e-08
-0.00071302530340439216,2.1306290065581379e-12,0,-0.00071246166203792433,2.1306290065581379e-12,-5.7852211887304598e-08
0.42544427090937181,2.1385115900329765e-12,0,0.42511458962257909,2.1385115900329765e-12,-5.5022378683688972e-08
4.6143644460983069e-16,2.1458390619955026e-12,0,4.6143644460983069e-16,2.1458390619955026e-12,-5.2467473964740885e-08
-4,2.152389377840791e-12,0,-3.9968554181913163,2.152389377840791e-12,-5.016182197532534e-08
-0.00076826187686187609,2.1582735598713043e-12,0,-0.00076764059171700969,2.1582735598713043e-12,-4.8082226092618757e-08
0.43615830082388846,2.1634916080870426e-12,0,0.43581213897858312,2.1634916080870426e-12,-4.6204553351823634e-08
1.7486012637846216e-15,2.1682655670929307e-12,0,1.7486012637846216e-15,2.1682655670929307e-12,-4.4507849290846258e-08
-4,2.1725954368889688e-12,0,-3.9969890863733588,2.1725954368889688e-12,-4.2973127618697059e-08
-0.00082994964146582107,2.1763701951726944e-12,0,-0.00082930623072774326,2.1763701951726944e-12,-4.1580624436230233e-08
0.44753290872940449,2.1798118865490324e-12,0,0.44719267972649113,2.1798118865490324e-12,-4.031475963205756e-08
-5.4470317145671743e-16,2.1831425556229078e-12,0,-5.4470317145671743e-16,2.1831425556229078e-12,-3.9160838884317131e-08
-4,2.1861401577893957e-12,0,-3.9973665632522031,2.1861401577893957e-12,-3.8105538006817334e-08
-0.00089892887804629746,2.1888046930484961e-12,0,-0.00089831609688582838,2.1888046930484961e-12,-3.7138873110272508e-08
0.45960299801001903,2.1912471837026715e-12,0,0.45929684194044706,2.1912471837026715e-12,-3.625228788575099e-08
5.2215176626901894e-16,2.1935786520543843e-12,0,5.2215176626901894e-16,2.1935786520543843e-12,-3.5439562905814332e-08
-4,2.1955770534987096e-12,0,-3.9979888939541115,2.1955770534987096e-12,-3.469660862378147e-08
-0.00097616802699944253,2.1975754549430349e-12,0,-0.00097565297120317271,2.1975754549430349e-12,-3.4019144687926286e-08
0.472406590060792,2.1991297671775101e-12,0,0.47216516262524844,2.1991297671775101e-12,-3.3404866482280738e-08
