fp,gp,y0p,fc,gc,y0c
2.9957172656952987e-13,0,0,6.1909967719821492e-05,0,0
5.6686774409827391e-12,-1.4514648884025401e-16,0,-0.00071811917998579995,-1.4514648884025401e-16,-0.00010622623375761093
0,1.1794725211835578e-16,0,0,1.1794725211835578e-16,0.00054227390160072303
-0.80014724448769159,0,0,-0.85723136151906776,0,0
-1.4333477342743195,-2.0073696321224943e-17,0,-1.449458896564753,-2.0073696321224943e-17,-8.5963871980794553e-05
6.5188121706941955e-13,5.863156718664603e-16,0,0.00012019228920202769,5.863156718664603e-16,-0.0006977670301037337
1.6574327708767225e-12,0,0,-0.00077934876198596458,0,0
0,-2.0062179080452943e-16,0,0,-2.0062179080452943e-16,-5.3251833716616722e-05
2.334471135256088e-10,-1.415047034658658e-15,0,2.334471135256088e-10,-1.415047034658658e-15,0.00059231901855761151
2.999336931916452e-06,0,0,2.999336931916452e-06,0,0
0,-1.0873710461187254e-17,0,0,-1.0873710461187254e-17,-7.8686914350668596e-05
-4.0642965243725682e-06,1.1106607708671416e-16,0,-4.0642965243725682e-06,1.1106607708671416e-16,-0.0006928416157735897
-8.9842297841813412e-05,0,0,-8.9842297841813412e-05,0,0
0,-3.0743156135722184e-16,0,0,-3.0743156135722184e-16,-9.5686434642901726e-06
-7.7815704508748024e-11,-1.1063096037148057e-15,0,-7.7815704508748024e-11,-1.1063096037148057e-15,0.00062819274687173944
-9.9977923337032926e-07,0,0,-9.9977923337032926e-07,0,0
0,-3.7416525179254006e-17,0,0,-3.7416525179254006e-17,-7.1318032755179724e-05
1.3547655081259241e-06,-2.3564663328314167e-16,0,1.3547655081259241e-06,-2.3564663328314167e-16,-0.00068750575024926705
2.9947432613974811e-05,0,0,2.9947432613974811e-05,0,0
0,-2.4165177860664126e-16,0,0,-2.4165177860664126e-16,2.5065046590341653e-05
-0.80014724448769159,-1.5510597000428372e-16,0,-0.85723134563144332,-1.5510597000428372e-16,0.00065205863998950514
-1.4333477342743195,0,0,-1.4494582866497037,0,0
4.7495622040824436e-13,-7.0031097188869586e-17,0,8.8775475027927045e-05,-7.0031097188869586e-17,-6.4177892189780001e-05
-1.0312657537067654e-11,2.5505431053208913e-18,0,-0.0011998702768764083,2.5505431053208913e-18,-0.00068285397004857551
0,0,0,0,0,0
-0.80014724448769159,-1.2659146976847098e-16,0,-0.85723134960335257,-1.2659146976847098e-16,5.1199377330101228e-05
-1.4333477342743195,-3.9197561068455586e-16,0,-1.4494584296160378,-3.9197561068455586e-16,0.00066664275120349541
1.9131643352964926e-12,0,0,0.00015902285753276627,0,0
-1.9319659966453466e-11,-7.8883697774648962e-17,0,-0.0011086074264037851,-7.8883697774648962e-17,-5.7505922517740312e-05
0,1.4655813872272306e-16,0,0,1.4655813872272306e-16,-0.00067861264104206263
-7.7815704508430387e-11,0,0,-7.7815704508430387e-11,0,0
-9.9977953767725614e-07,-6.1227508946173403e-17,0,-9.9977953767725614e-07,-6.1227508946173403e-17,6.9765212514703013e-05
0,-8.9923069465493498e-16,0,0,-8.9923069465493498e-16,0.00067437558756882243
1.3547655081241894e-06,0,0,1.3547655081241894e-06,0,0
2.9947432613974811e-05,-4.0090137644428403e-17,0,2.9947432613974811e-05,-4.0090137644428403e-17,-5.1485971669786528e-05
0,-1.9788345620795287e-16,0,0,-1.9788345620795287e-16,-0.00067505539735918086
-7.7815704508218629e-11,0,0,-7.7815704508218629e-11,0,0
-9.9977926534995654e-07,-4.9918891736331006e-17,0,-9.9977926534995654e-07,-4.9918891736331006e-17,8.180217478148559e-05
0,-1.1079317411764546e-16,0,0,-1.1079317411764546e-16,0.0006770559460995575
1.3547655081241894e-06,0,0,1.3547655081241894e-06,0,0
2.9947432613974811e-05,-2.3497439716197187e-17,0,2.9947432613974811e-05,-2.3497439716197187e-17,-4.6199274778099846e-05
0,-3.3082579418984997e-16,0,0,-3.3082579418984997e-16,-0.00067245587312938257
-0.80014724448769159,0,0,-0.85723133503970073,0,0
-1.4333477342743195,4.727459719851081e-17,0,-1.4494579999280428,4.727459719851081e-17,8.8479488870116146e-05
7.1852204080219089e-12,7.7841614797213566e-16,0,-0.00021327510049951937,7.7841614797213566e-16,0.00067678384848987496
-3.2347466931737018e-11,0,0,0.0013375334235742119,0,0
0,-1.7347741028104065e-17,0,0,-1.7347741028104065e-17,-4.1695000475316245e-05
-0.80014724448769159,7.3681681168220702e-17,0,-0.85723132577192218,7.3681681168220702e-17,-0.00067040361715848922
-1.4333477342743195,0,0,-1.4494578015452424,0,0
