fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
-2.2669218350601665e-11,,,-8.0222542975167015e-13,,,0.1236273482042016,,
8.9487245168067922e-12,,,-4.7588589211825877e-12,,,-0.047747622468654043,,
-4.6733596694396603e-11,,,-4.0679198931904568e-12,,,-0.036896833510008969,,
-3.2669793963818525e-11,,,2.2127374229705264e-12,,,0.15261086281862485,,
7.1653141241167328e-11,,,-3.1559209184966681e-13,,,-0.075240815202409161,,
-1.4776648317582442e-10,,,-8.9297034842933025e-12,,,0.12002943381408107,,
-0.00016219972249766193,,,3.9800810579726013e-05,,,0.088659947963399294,,
4.5145278366596831e-05,,,-1.1247565300928063e-05,,,0.090608336372041673,,
0.00021161221871746069,,,-5.1759142300639124e-05,,,0.015704227800450207,,
-0.00012843657241346751,,,3.1787307544749567e-05,,,-0.046725389318623266,,
-0.00016105245377596745,,,3.8942250779968312e-05,,,-0.052833696626382924,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-6.2836697632180316e-06,,,1.5886935700149845e-06,,,0.04988225696719796,,
-4.1645657096316885e-05,,,1.0343677355738094e-05,,,0.021941473526709204,,
2.5279907388906142e-05,,,-6.3507274732510843e-06,,,-0.018564734412966362,,
3.1691315113307001e-05,,,-7.7842417310649545e-06,,,-0.029209112372520794,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-0.00013804050860294876,,,3.3654494723003036e-05,,,0.025650441401865554,,
0.00011848228226758551,,,-2.9231652657299487e-05,,,0.039457750472811672,,
0.00014858085026521052,,,-3.5807023061876523e-05,,,0.021238557851791431,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-5.0853554478821428e-05,,,1.2692381508308019e-05,,,0.053795619275825837,,
-9.0166970926058265e-05,,,2.1995940950720812e-05,,,0.058176925509591283,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-7.9971764613451693e-05,,,1.9045512883113781e-05,,,0.041076882341941783,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-0.00024169444639294166,,,7.521926190328759e-05,,,0.023093961617723344,,
6.7277200935376587e-05,,,-2.100563943793555e-05,,,0.0021159707483824398,,
0.00031531642708786892,,,-9.8022886289586797e-05,,,0.0032366088690280186,,
-0.00019139421579690433,,,5.968668434472482e-05,,,-0.021063679938956463,,
-0.0002399609005794221,,,7.4374213253004329e-05,,,-0.017430558802428896,,
-9.3660400155697505e-06,,,2.9315324411396517e-06,,,0.01269129484853079,,
-6.2058542492705673e-05,,,1.9358699891851235e-05,,,-0.0094738545952870144,,
3.7677740212733351e-05,,,-1.1782511503741676e-05,,,-0.00709697496670044,,
4.7217162465017383e-05,,,-1.4694532207609324e-05,,,-0.006194025451433236,,
-0.00020568622381406131,,,6.3867630901018741e-05,,,0.0053843476443275022,,
0.00017655288096804636,,,-5.5004151052317522e-05,,,0.0053957998922362152,,
0.00022138078110065521,,,-6.8523925589424815e-05,,,0.0029955237348452826,,
-7.5788593073427378e-05,,,2.3676451907588687e-05,,,0.012520821915306906,,
-0.00013434142368880673,,,4.1744721417514599e-05,,,0.013712280548255032,,
-0.00011915858837816054,,,3.6746627814305477e-05,,,0.0046695381827455869,,
-1.3012333221918349e-11,,,2.9507641424336172e-12,,,0.28389664306488094,,
-5.654262924106228e-12,,,4.4419661084431962e-12,,,0.020957325138548689,,
-2.329791948120066e-11,,,1.9758698880991038e-12,,,-0.22307780687495524,,
-1.3066007359331822e-11,,,5.8435261841974633e-12,,,-0.02526793052555687,,
-2.668255762651757e-11,,,4.9040280465132505e-12,,,0.036468449904989465,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
